run,max_n_features,n_classes,batch_size,test_size,epochs,lr,model,cost_classification,cost_align_ref,cost_align_dat,epoch,train_loss,train_auc,train_acc,test_loss,test_auc,test_acc
16596975801156582,748,11,64,0.7,75,8e-05,CustomModel,1.0,1.0,50.0,74,1.5566059037617275,1.0,0.9999104584527221,1.557503219036495,0.9999999920618473,0.9996546563831011
16596976512735000,748,11,64,0.7,75,8e-05,CustomModel,1.0,1.0,100.0,73,1.5656176894051688,1.0,1.0,1.5664067966680901,0.9999999861641332,0.9997313994090787
16597009453826240,748,11,64,0.7,75,8e-05,CustomModel,1.0,10.0,1.0,65,1.5512063939230782,0.9999999822584213,0.9988359598853869,1.5523014553621703,0.9999999535103944,0.9982349104025172
16597010625236798,748,11,64,0.7,75,8e-05,CustomModel,1.0,10.0,10.0,67,1.5482649959836687,1.0,1.0,1.5490263554395414,0.9999999920551613,0.9998848854610337
16597043981359336,748,11,64,0.7,75,8e-05,CustomModel,1.0,10.0,50.0,74,1.558309349332537,1.0,1.0,1.5593355426601334,0.9999999641130176,0.9997313994090787
16597051139915904,748,11,64,0.7,75,8e-05,CustomModel,1.0,10.0,100.0,59,1.5698281533377512,1.0,1.0,1.5712719892754274,0.9999999456368058,0.9996546563831011
16597079625530668,748,11,64,0.7,75,8e-05,CustomModel,1.0,50.0,1.0,67,1.5518471602031163,1.0,0.9999104584527221,1.5528000283475016,0.9999999964821172,0.9996162848701124
16597090712790964,748,11,64,0.7,75,8e-05,CustomModel,1.0,50.0,10.0,62,1.5537241983413697,0.9999999823303198,0.9997313753581661,1.554519004097172,0.9999998393304108,0.9995011703311462
16597118408975542,748,11,64,0.7,75,8e-05,CustomModel,1.0,50.0,50.0,71,1.5579883371080672,1.0,1.0,1.5587129148782468,0.999999972677875,0.9998081424350562
16597125498678874,748,11,64,0.7,75,8e-05,CustomModel,1.0,50.0,100.0,66,1.5700041913986207,1.0,0.9998209169054442,1.571062208682883,0.9999998704404021,0.9990407121752811
